Diagnosed Diabetes; Total (Total); Adults Aged 20+ Years; Age-Adjusted Percentage; New York Counties; 2023
Data downloaded on 24-November-2025
County,State,CountyFIPS,Percentage,Lower Limit, Upper Limit
Albany County,New York,36001,8.1,6.7,9.5
Allegany County,New York,36003,10.8,8.0,13.7
Bronx County,New York,36005,12.1,10.8,13.4
Broome County,New York,36007,9.2,7.7,11.1
Cattaraugus County,New York,36009,9.2,6.9,12.4
Cayuga County,New York,36011,9.1,7.0,11.3
Chautauqua County,New York,36013,11.6,9.0,14.5
Chemung County,New York,36015,9.4,7.3,11.6
Chenango County,New York,36017,10.0,7.7,12.7
Clinton County,New York,36019,10.8,8.8,13.2
Columbia County,New York,36021,8.5,6.5,10.7
Cortland County,New York,36023,8.8,6.7,11.6
Delaware County,New York,36025,8.6,6.4,11.1
Dutchess County,New York,36027,7.1,5.5,8.9
Erie County,New York,36029,9.0,7.7,10.3
Essex County,New York,36031,7.8,5.9,10.0
Franklin County,New York,36033,11.3,8.9,14.0
Fulton County,New York,36035,9.8,7.6,12.0
Genesee County,New York,36037,8.8,6.8,11.3
Greene County,New York,36039,8.8,6.4,11.7
Hamilton County,New York,36041,7.8,5.5,10.4
Herkimer County,New York,36043,8.0,6.2,10.1
Jefferson County,New York,36045,10.9,9.2,12.7
Kings County,New York,36047,9.7,8.8,10.6
Lewis County,New York,36049,10.7,8.4,13.3
Livingston County,New York,36051,8.9,6.7,11.7
Madison County,New York,36053,8.1,6.2,10.5
Monroe County,New York,36055,10.3,9.0,11.8
Montgomery County,New York,36057,8.5,6.5,10.6
Nassau County,New York,36059,7.9,6.9,9.0
New York County,New York,36061,6.5,5.8,7.3
Niagara County,New York,36063,10.2,8.0,12.5
Oneida County,New York,36065,9.2,7.5,11.1
Onondaga County,New York,36067,9.7,8.3,11.3
Ontario County,New York,36069,8.5,6.5,10.7
Orange County,New York,36071,9.3,7.4,11.3
Orleans County,New York,36073,10.7,7.8,13.9
Oswego County,New York,36075,9.3,7.0,12.3
Otsego County,New York,36077,9.0,7.1,11.0
Putnam County,New York,36079,7.1,5.3,9.2
Queens County,New York,36081,10.8,9.7,11.9
Rensselaer County,New York,36083,9.6,7.5,11.8
Richmond County,New York,36085,10.3,8.9,11.8
Rockland County,New York,36087,8.4,6.6,11.0
St. Lawrence County,New York,36089,11.3,9.4,13.3
Saratoga County,New York,36091,7.5,6.1,9.2
Schenectady County,New York,36093,8.4,6.5,10.8
Schoharie County,New York,36095,8.9,6.8,11.1
Schuyler County,New York,36097,10.2,7.6,13.2
Seneca County,New York,36099,9.1,6.5,12.4
Steuben County,New York,36101,9.7,7.3,12.3
Suffolk County,New York,36103,7.6,6.7,8.7
Sullivan County,New York,36105,10.1,7.7,12.7
Tioga County,New York,36107,9.4,7.2,11.9
Tompkins County,New York,36109,7.1,5.5,8.8
Ulster County,New York,36111,8.1,6.3,10.1
Warren County,New York,36113,8.9,7.1,10.9
Washington County,New York,36115,8.5,6.6,10.8
Wayne County,New York,36117,9.1,6.9,11.4
Westchester County,New York,36119,7.0,6.1,8.0
Wyoming County,New York,36121,9.4,6.9,12.4
Yates County,New York,36123,8.3,5.7,10.9
US Diabetes Surveillance System; www.cdc.gov/diabetes/data; Division of Diabetes Translation - Centers for Disease Control and Prevention.
